.Ano,.País de Nascimento,.País (Formação),.Região (Formação),.UF (Formação),.Cidade (Formação),.Grande Área (Formação),.Área (Formação),.Instituição (Formação),.Nível (Formação),.País (Atuação),.Região (Atuação),.UF (Atuação),.Cidade (Atuação),.Grande Área (Atuação),.Área (Atuação),.Instituição (Atuação),.Setor de Atividade (Atuação),.Enquadramento (Atuação),.Sexo,.Cor ou Raça
2023,Brasil,Brasil,Nordeste,Bahia,Salvador,Outra,Multidisciplinar,Universidade Federal da Bahia UFBA,Doutorado,Brasil,Nordeste,Bahia,Cruz das Almas,Ciências Exatas e da Terra,Química,Universidade Federal do Reconcavo da Bahia UFRB,Ensino Superior,Professor Adjunto,Feminino,Preta
2023,Brasil,Brasil,Nordeste,Bahia,Salvador,Outra,Multidisciplinar,Universidade Federal da Bahia UFBA,Doutorado,Brasil,Nordeste,Bahia,Cruz das Almas,Ciências Sociais Aplicadas,Comunicação,Universidade Federal do Reconcavo da Bahia UFRB,Ensino Superior,Professor Adjunto,Masculino,Parda
2023,Brasil,Brasil,Nordeste,Bahia,Salvador,Outra,Multidisciplinar,Universidade Federal da Bahia UFBA,Doutorado,Brasil,Nordeste,Bahia,Cruz das Almas,Não informado,Não informado,Universidade Federal do Reconcavo da Bahia UFRB,Ensino Superior,Professor Adjunto,Feminino,Parda
2023,Brasil,Brasil,Nordeste,Bahia,Salvador,Outra,Multidisciplinar,Universidade Federal da Bahia UFBA,Doutorado,Brasil,Nordeste,Bahia,Feira de Santana,Ciências Exatas e da Terra,Física,Universidade Estadual de Feira de Santana UEFS,Ensino Superior,Professor Assistente,Feminino,Preta
2023,Brasil,Brasil,Nordeste,Bahia,Salvador,Outra,Multidisciplinar,Universidade Federal da Bahia UFBA,Doutorado,Brasil,Nordeste,Bahia,Feira de Santana,Ciências Humanas,Educação,Universidade Estadual de Feira de Santana UEFS,Ensino Superior,Pesquisador,Feminino,Parda
2023,Brasil,Brasil,Nordeste,Bahia,Salvador,Outra,Multidisciplinar,Universidade Federal da Bahia UFBA,Doutorado,Brasil,Nordeste,Bahia,Itabuna,Ciências Humanas,História,Universidade Federal do Sul da Bahia UFSB,Ensino Superior,Outro,Feminino,Preta
2023,Brasil,Brasil,Nordeste,Bahia,Salvador,Outra,Multidisciplinar,Universidade Federal da Bahia UFBA,Doutorado,Brasil,Nordeste,Bahia,Não informado,Ciências Humanas,Educação,Prefeitura Municipal de Catu PMC,Não informado,Professor,Feminino,Parda
2023,Brasil,Brasil,Nordeste,Bahia,Salvador,Outra,Multidisciplinar,Universidade Federal da Bahia UFBA,Doutorado,Brasil,Nordeste,Bahia,Não informado,Ciências Humanas,Psicologia,Faculdade Regional da Bahia UNIRB,Ensino Superior,Professor,Masculino,Preta
2023,Brasil,Brasil,Nordeste,Bahia,Salvador,Outra,Multidisciplinar,Universidade Federal da Bahia UFBA,Doutorado,Brasil,Nordeste,Bahia,Salvador,Ciências da Saúde,Saúde Coletiva,SENAI CIMATEC,Setor Privado sem Fins Lucrativos,Outro,Masculino,Branca
2023,Brasil,Brasil,Nordeste,Bahia,Salvador,Outra,Multidisciplinar,Universidade Federal da Bahia UFBA,Doutorado,Brasil,Nordeste,Bahia,Salvador,Ciências Humanas,Ciência Política,Universidade Federal da Bahia UFBA,Ensino Superior,Pesquisador,Masculino,Branca
2023,Brasil,Brasil,Nordeste,Bahia,Salvador,Outra,Multidisciplinar,Universidade Federal da Bahia UFBA,Doutorado,Brasil,Nordeste,Bahia,Salvador,Ciências Humanas,Educação,Secretaria de Educacao do Estado da Bahia SEEBA,Setor Empresarial,Professor,Feminino,Branca
2023,Brasil,Brasil,Nordeste,Bahia,Salvador,Outra,Multidisciplinar,Universidade Federal da Bahia UFBA,Doutorado,Brasil,Nordeste,Bahia,Salvador,Ciências Humanas,Educação,Secretaria de Educacao do Estado da Bahia SEEBA,Setor Empresarial,Professor,Feminino,Preta
2023,Brasil,Brasil,Nordeste,Bahia,Salvador,Outra,Multidisciplinar,Universidade Federal da Bahia UFBA,Doutorado,Brasil,Nordeste,Bahia,Salvador,Ciências Humanas,Educação,Universidade do Estado da Bahia UNEB,Ensino Superior,Professor,Feminino,Parda
2023,Brasil,Brasil,Nordeste,Bahia,Salvador,Outra,Multidisciplinar,Universidade Federal da Bahia UFBA,Doutorado,Brasil,Nordeste,Bahia,Salvador,Ciências Humanas,Filosofia,Instituto Federal da Bahia IFBA,Ensino Superior,Professor do Ensino Médio,Masculino,Parda
2023,Brasil,Brasil,Nordeste,Bahia,Salvador,Outra,Multidisciplinar,Universidade Federal da Bahia UFBA,Doutorado,Brasil,Nordeste,Bahia,Salvador,Ciências Humanas,História,Universidade do Estado da Bahia UNEB,Ensino Superior,Professor Assistente,Masculino,Parda
2023,Brasil,Brasil,Nordeste,Bahia,Salvador,Outra,Multidisciplinar,Universidade Federal da Bahia UFBA,Doutorado,Brasil,Nordeste,Bahia,Salvador,Ciências Humanas,História,Universidade Federal da Bahia UFBA,Ensino Superior,Não informado,Feminino,Preta
2023,Brasil,Brasil,Nordeste,Bahia,Salvador,Outra,Multidisciplinar,Universidade Federal da Bahia UFBA,Doutorado,Brasil,Nordeste,Bahia,Salvador,Não informado,Não informado,Secretaria de Educacao do Estado da Bahia SEEBA,Setor Empresarial,Professor,Feminino,Parda
2023,Brasil,Brasil,Nordeste,Bahia,Salvador,Outra,Multidisciplinar,Universidade Federal da Bahia UFBA,Doutorado,Brasil,Nordeste,Bahia,Salvador,Não informado,Não informado,Universidade Federal da Bahia UFBA,Ensino Superior,Professor Adjunto,Masculino,Preta
2023,Brasil,Brasil,Nordeste,Bahia,Salvador,Outra,Multidisciplinar,Universidade Federal da Bahia UFBA,Doutorado,Brasil,Nordeste,Pernambuco,Recife,Ciências Sociais Aplicadas,Administração,Universidade Federal de Pernambuco UFPE,Ensino Superior,Outro,Masculino,Preta
2023,Brasil,Brasil,Nordeste,Bahia,Salvador,Outra,Multidisciplinar,Universidade Federal da Bahia UFBA,Doutorado,Brasil,Sudeste,São Paulo,Sao Paulo,Ciências Humanas,Antropologia,Associacao Brasileira de Estudos e Pesquisas em Moda ABEPEM,Setor Privado sem Fins Lucrativos,Não informado,Feminino,Branca
2023,Brasil,Brasil,Nordeste,Bahia,Salvador,Outra,Multidisciplinar,Universidade Federal da Bahia UFBA,Doutorado,Não informado,Não informado,Não informado,Não informado,Ciências Humanas,Antropologia,Não informado,Não informado,Não informado,Masculino,Preta
2023,Brasil,Brasil,Nordeste,Bahia,Salvador,Outra,Multidisciplinar,Universidade Federal da Bahia UFBA,Doutorado,Não informado,Não informado,Não informado,Não informado,Ciências Humanas,Educação,Não informado,Não informado,Não informado,Feminino,Branca
2023,Brasil,Brasil,Nordeste,Bahia,Salvador,Outra,Multidisciplinar,Universidade Federal da Bahia UFBA,Doutorado,Não informado,Não informado,Não informado,Não informado,Ciências Humanas,Educação,Revista Ensinar (Rensin),Não informado,Não informado,Masculino,Branca
